"('ReadingDate', <class 'int'>, None, 19, 19, 0, True)","('Easting', <class 'int'>, None, 19, 19, 0, True)","('Northing', <class 'int'>, None, 19, 19, 0, True)","('Intensity(mm/hr)', <class 'decimal.Decimal'>, None, 4, 4, 2, True)","('Depth(mm)', <class 'decimal.Decimal'>, None, 6, 6, 2, True)","('Year', <class 'str'>, None, 1024, 1024, 0, True)","('Month', <class 'str'>, None, 1024, 1024, 0, True)","('Day', <class 'str'>, None, 1024, 1024, 0, True)"
202401011800,316500,121500,0.23,2.72,2024,01,01
202401011755,316500,121500,0.32,3.88,2024,01,01
202401011750,316500,121500,0.19,2.28,2024,01,01
202401011745,316500,121500,0.22,2.63,2024,01,01
202401011740,316500,121500,0.18,2.19,2024,01,01
202401011735,316500,121500,0.17,2.09,2024,01,01
202401011730,316500,121500,0.21,2.47,2024,01,01
202401011725,316500,121500,0.24,2.91,2024,01,01
202401011720,316500,121500,0.24,2.94,2024,01,01
202401011715,316500,121500,0.27,3.28,2024,01,01
202401011710,316500,121500,0.32,3.78,2024,01,01
202401011705,316500,121500,0.53,6.31,2024,01,01
202401011700,316500,121500,0.38,4.50,2024,01,01
202401011655,316500,121500,0.34,4.03,2024,01,01
202401011650,316500,121500,0.30,3.59,2024,01,01
202401011645,316500,121500,0.23,2.78,2024,01,01
202401011640,316500,121500,0.19,2.28,2024,01,01
202401011635,316500,121500,0.21,2.53,2024,01,01
202401011630,316500,121500,0.19,2.28,2024,01,01
202401011625,316500,121500,0.14,1.72,2024,01,01
202401011620,316500,121500,0.13,1.53,2024,01,01
202401011615,316500,121500,0.11,1.28,2024,01,01
202401011610,316500,121500,0.13,1.53,2024,01,01
202401011605,316500,121500,0.11,1.34,2024,01,01
202401011600,316500,121500,0.13,1.59,2024,01,01
202401011555,316500,121500,0.10,1.19,2024,01,01
202401011550,316500,121500,0.11,1.38,2024,01,01
202401011545,316500,121500,0.10,1.25,2024,01,01
202401011540,316500,121500,0.11,1.28,2024,01,01
202401011535,316500,121500,0.16,1.91,2024,01,01
202401011530,316500,121500,0.13,1.59,2024,01,01
202401011525,316500,121500,0.16,1.88,2024,01,01
202401011520,316500,121500,0.12,1.47,2024,01,01
202401011515,316500,121500,0.11,1.34,2024,01,01
202401011510,316500,121500,0.07,0.84,2024,01,01
202401011505,316500,121500,0.09,1.06,2024,01,01
202401011500,316500,121500,0.01,0.13,2024,01,01
202401011455,316500,121500,0.01,0.06,2024,01,01
202401011445,316500,121500,0.01,0.06,2024,01,01
202401011420,316500,121500,0.01,0.06,2024,01,01
202401011325,316500,121500,0.00,0.03,2024,01,01
202401011300,316500,121500,0.01,0.09,2024,01,01
202401011255,316500,121500,0.01,0.13,2024,01,01
202401011250,316500,121500,0.01,0.13,2024,01,01
202401011245,316500,121500,0.11,1.31,2024,01,01
202401011235,316500,121500,0.01,0.16,2024,01,01
202401011200,316500,121500,0.01,0.06,2024,01,01
202401011155,316500,121500,0.01,0.06,2024,01,01
202401010900,316500,121500,0.01,0.06,2024,01,01
202401010850,316500,121500,0.00,0.03,2024,01,01
202401010810,316500,121500,0.00,0.03,2024,01,01
202401010800,316500,121500,0.00,0.03,2024,01,01
202401010740,316500,121500,0.02,0.28,2024,01,01
202401010735,316500,121500,0.00,0.03,2024,01,01
202401010150,316500,121500,0.01,0.06,2024,01,01
202401010145,316500,121500,0.01,0.06,2024,01,01
202401010140,316500,121500,0.02,0.19,2024,01,01
202401010025,316500,121500,0.00,0.03,2024,01,01
202401010010,316500,121500,0.03,0.31,2024,01,01
202401010000,316500,121500,0.07,0.78,2024,01,01
202401012300,316500,121500,0.00,0.03,2024,01,01
202401012255,316500,121500,0.01,0.06,2024,01,01
202401012250,316500,121500,0.01,0.13,2024,01,01
202401012245,316500,121500,0.02,0.22,2024,01,01
202401012240,316500,121500,0.02,0.19,2024,01,01
202401012235,316500,121500,0.01,0.09,2024,01,01
202401012230,316500,121500,0.03,0.31,2024,01,01
202401012225,316500,121500,0.01,0.13,2024,01,01
202401012220,316500,121500,0.01,0.16,2024,01,01
202401012215,316500,121500,0.02,0.28,2024,01,01
202401012210,316500,121500,0.02,0.19,2024,01,01
202401012205,316500,121500,0.02,0.22,2024,01,01
202401012200,316500,121500,0.02,0.22,2024,01,01
202401012155,316500,121500,0.02,0.25,2024,01,01
202401012150,316500,121500,0.02,0.22,2024,01,01
202401012145,316500,121500,0.02,0.19,2024,01,01
202401012140,316500,121500,0.02,0.28,2024,01,01
202401012135,316500,121500,0.02,0.28,2024,01,01
202401012130,316500,121500,0.02,0.19,2024,01,01
202401012125,316500,121500,0.01,0.13,2024,01,01
202401012120,316500,121500,0.01,0.13,2024,01,01
202401012115,316500,121500,0.01,0.13,2024,01,01
202401012110,316500,121500,0.02,0.19,2024,01,01
202401012105,316500,121500,0.14,1.66,2024,01,01
202401012100,316500,121500,0.14,1.69,2024,01,01
202401012055,316500,121500,0.04,0.53,2024,01,01
202401012050,316500,121500,0.03,0.31,2024,01,01
202401012045,316500,121500,0.04,0.44,2024,01,01
202401012040,316500,121500,0.03,0.34,2024,01,01
202401012035,316500,121500,0.20,2.41,2024,01,01
202401012030,316500,121500,0.20,2.44,2024,01,01
202401012025,316500,121500,0.08,0.97,2024,01,01
202401012020,316500,121500,0.04,0.44,2024,01,01
202401012015,316500,121500,0.06,0.72,2024,01,01
202401012010,316500,121500,0.05,0.59,2024,01,01
202401012005,316500,121500,0.06,0.69,2024,01,01
202401012000,316500,121500,0.07,0.78,2024,01,01
202401011955,316500,121500,0.04,0.53,2024,01,01
202401011950,316500,121500,0.06,0.72,2024,01,01
202401011945,316500,121500,0.11,1.38,2024,01,01
202401011940,316500,121500,0.10,1.22,2024,01,01
202401011935,316500,121500,0.11,1.38,2024,01,01
202401011930,316500,121500,0.09,1.09,2024,01,01
202401011925,316500,121500,0.18,2.19,2024,01,01
202401011920,316500,121500,0.36,4.34,2024,01,01
202401011915,316500,121500,0.46,5.47,2024,01,01
202401011910,316500,121500,0.28,3.41,2024,01,01
202401011905,316500,121500,0.18,2.13,2024,01,01
202401011900,316500,121500,0.13,1.50,2024,01,01
202401011855,316500,121500,0.15,1.75,2024,01,01
202401011850,316500,121500,0.16,1.91,2024,01,01
202401011845,316500,121500,0.17,2.03,2024,01,01
202401011840,316500,121500,0.19,2.25,2024,01,01
202401011835,316500,121500,0.24,2.88,2024,01,01
202401011830,316500,121500,0.20,2.38,2024,01,01
202401011825,316500,121500,0.15,1.84,2024,01,01
202401011820,316500,121500,0.16,1.97,2024,01,01
202401011815,316500,121500,0.18,2.16,2024,01,01
202401011810,316500,121500,0.20,2.44,2024,01,01
202401011805,316500,121500,0.15,1.84,2024,01,01
202401022345,316500,121500,0.01,0.16,2024,01,02
202401022340,316500,121500,0.09,1.06,2024,01,02
202401022335,316500,121500,0.04,0.44,2024,01,02
202401022315,316500,121500,0.10,1.16,2024,01,02
202401022310,316500,121500,0.28,3.34,2024,01,02
202401022305,316500,121500,0.15,1.81,2024,01,02
202401022300,316500,121500,0.29,3.47,2024,01,02
202401020920,316500,121500,0.08,0.97,2024,01,02
202401020915,316500,121500,0.10,1.19,2024,01,02
202401020910,316500,121500,0.20,2.41,2024,01,02
202401020905,316500,121500,0.17,2.03,2024,01,02
202401020900,316500,121500,0.23,2.72,2024,01,02
202401020855,316500,121500,0.10,1.16,2024,01,02
202401020850,316500,121500,0.10,1.19,2024,01,02
202401020845,316500,121500,0.03,0.38,2024,01,02
202401020840,316500,121500,0.05,0.59,2024,01,02
202401020835,316500,121500,0.07,0.88,2024,01,02
202401020830,316500,121500,0.07,0.78,2024,01,02
202401020825,316500,121500,0.07,0.78,2024,01,02
202401020820,316500,121500,0.20,2.38,2024,01,02
202401020815,316500,121500,0.13,1.53,2024,01,02
202401020810,316500,121500,0.09,1.06,2024,01,02
202401020805,316500,121500,0.07,0.78,2024,01,02
202401020800,316500,121500,0.03,0.34,2024,01,02
202401020755,316500,121500,0.07,0.84,2024,01,02
202401020750,316500,121500,0.08,0.97,2024,01,02
202401020745,316500,121500,0.06,0.69,2024,01,02
202401020740,316500,121500,0.20,2.34,2024,01,02
202401020735,316500,121500,0.15,1.81,2024,01,02
202401020730,316500,121500,0.04,0.50,2024,01,02
202401020725,316500,121500,0.09,1.06,2024,01,02
202401020720,316500,121500,0.11,1.34,2024,01,02
202401020715,316500,121500,0.11,1.31,2024,01,02
202401020710,316500,121500,0.13,1.59,2024,01,02
202401020705,316500,121500,0.15,1.78,2024,01,02
202401020700,316500,121500,0.11,1.28,2024,01,02
202401020655,316500,121500,0.09,1.03,2024,01,02
202401020650,316500,121500,0.08,0.97,2024,01,02
202401020645,316500,121500,0.11,1.34,2024,01,02
202401020640,316500,121500,0.08,1.00,2024,01,02
202401020635,316500,121500,0.07,0.84,2024,01,02
202401020630,316500,121500,0.06,0.72,2024,01,02
202401020625,316500,121500,0.09,1.13,2024,01,02
202401020620,316500,121500,0.08,1.00,2024,01,02
202401020615,316500,121500,0.10,1.19,2024,01,02
202401020610,316500,121500,0.08,0.94,2024,01,02
202401020605,316500,121500,0.06,0.75,2024,01,02
202401020600,316500,121500,0.08,1.00,2024,01,02
202401020555,316500,121500,0.04,0.50,2024,01,02
202401020550,316500,121500,0.08,0.91,2024,01,02
202401020545,316500,121500,0.15,1.81,2024,01,02
202401020540,316500,121500,0.09,1.13,2024,01,02
202401020535,316500,121500,0.05,0.59,2024,01,02
202401020530,316500,121500,0.08,0.97,2024,01,02
202401020525,316500,121500,0.07,0.81,2024,01,02
202401020520,316500,121500,0.11,1.34,2024,01,02
202401020515,316500,121500,0.12,1.47,2024,01,02
202401020510,316500,121500,0.14,1.69,2024,01,02
202401020505,316500,121500,0.14,1.66,2024,01,02
202401020500,316500,121500,0.14,1.72,2024,01,02
202401020455,316500,121500,0.10,1.22,2024,01,02
202401020450,316500,121500,0.07,0.81,2024,01,02
202401020445,316500,121500,0.06,0.72,2024,01,02
202401020440,316500,121500,0.04,0.50,2024,01,02
202401020435,316500,121500,0.04,0.50,2024,01,02
202401020430,316500,121500,0.02,0.28,2024,01,02
202401020425,316500,121500,0.02,0.28,2024,01,02
202401020420,316500,121500,0.01,0.09,2024,01,02
202401020415,316500,121500,0.02,0.19,2024,01,02
202401020410,316500,121500,0.01,0.16,2024,01,02
202401022255,316500,121500,0.74,8.91,2024,01,02
202401022250,316500,121500,0.65,7.75,2024,01,02
202401022245,316500,121500,0.00,0.03,2024,01,02
202401022240,316500,121500,0.01,0.16,2024,01,02
202401022235,316500,121500,0.00,0.03,2024,01,02
202401022230,316500,121500,0.02,0.28,2024,01,02
202401022225,316500,121500,0.40,4.84,2024,01,02
202401022200,316500,121500,0.01,0.06,2024,01,02
202401022115,316500,121500,0.01,0.13,2024,01,02
202401022110,316500,121500,0.04,0.44,2024,01,02
202401022040,316500,121500,0.01,0.09,2024,01,02
202401022035,316500,121500,0.28,3.31,2024,01,02
202401022030,316500,121500,0.04,0.50,2024,01,02
202401021935,316500,121500,0.01,0.06,2024,01,02
202401021930,316500,121500,0.02,0.19,2024,01,02
202401021925,316500,121500,0.03,0.38,2024,01,02
202401021920,316500,121500,0.03,0.31,2024,01,02
202401021915,316500,121500,0.01,0.09,2024,01,02
202401021910,316500,121500,0.14,1.69,2024,01,02
202401021900,316500,121500,0.04,0.50,2024,01,02
202401021540,316500,121500,0.01,0.09,2024,01,02
202401021535,316500,121500,0.14,1.66,2024,01,02
202401021530,316500,121500,0.02,0.28,2024,01,02
202401021525,316500,121500,0.08,0.91,2024,01,02
202401021520,316500,121500,0.03,0.34,2024,01,02
202401021515,316500,121500,0.01,0.09,2024,01,02
202401021455,316500,121500,0.01,0.06,2024,01,02
202401021445,316500,121500,0.01,0.06,2024,01,02
202401021435,316500,121500,0.01,0.13,2024,01,02
202401021430,316500,121500,0.01,0.16,2024,01,02
202401021425,316500,121500,0.02,0.28,2024,01,02
202401021355,316500,121500,0.01,0.13,2024,01,02
202401021330,316500,121500,0.01,0.06,2024,01,02
202401021300,316500,121500,0.02,0.22,2024,01,02
202401021255,316500,121500,0.02,0.19,2024,01,02
202401021250,316500,121500,0.05,0.63,2024,01,02
202401021245,316500,121500,0.04,0.47,2024,01,02
202401021240,316500,121500,0.05,0.59,2024,01,02
202401021235,316500,121500,0.02,0.22,2024,01,02
202401021230,316500,121500,0.01,0.09,2024,01,02
202401021225,316500,121500,0.01,0.09,2024,01,02
202401021215,316500,121500,0.00,0.03,2024,01,02
202401021140,316500,121500,0.00,0.03,2024,01,02
202401021130,316500,121500,0.01,0.06,2024,01,02
202401021125,316500,121500,0.01,0.06,2024,01,02
202401021120,316500,121500,0.04,0.50,2024,01,02
202401021115,316500,121500,0.02,0.25,2024,01,02
202401021105,316500,121500,0.01,0.06,2024,01,02
202401021100,316500,121500,0.01,0.06,2024,01,02
202401021035,316500,121500,0.02,0.25,2024,01,02
202401021030,316500,121500,0.03,0.31,2024,01,02
202401021025,316500,121500,0.02,0.25,2024,01,02
202401021020,316500,121500,0.00,0.03,2024,01,02
202401021015,316500,121500,0.01,0.06,2024,01,02
202401021010,316500,121500,0.01,0.06,2024,01,02
202401021005,316500,121500,0.01,0.09,2024,01,02
202401021000,316500,121500,0.01,0.16,2024,01,02
202401020955,316500,121500,0.07,0.84,2024,01,02
202401020950,316500,121500,0.12,1.41,2024,01,02
202401020945,316500,121500,0.05,0.56,2024,01,02
202401020940,316500,121500,0.12,1.47,2024,01,02
202401020935,316500,121500,0.10,1.16,2024,01,02
202401020930,316500,121500,0.03,0.41,2024,01,02
202401020925,316500,121500,0.03,0.41,2024,01,02
